0.00	A
0.04	F
0.10	B
0.16	F
0.23	B
0.30	D
0.65	B
0.72	A
0.84	B
1.03	A
1.11	E
1.33	A
1.41	B
1.50	A
1.58	E
1.65	B
1.72	A
1.84	D
1.96	C
2.01	A
2.09	C
2.24	B
2.45	A
2.57	B
2.77	E
2.84	F
2.91	B
2.98	C
3.33	B
3.47	C
3.61	B
3.68	C
3.82	B
4.31	D
4.38	B
4.59	A
5.24	B
5.34	C
5.76	F
5.83	B
6.18	A
6.27	C
6.43	E
6.57	F
6.64	B
6.85	A
6.93	D
7.09	C
7.16	A
7.24	C
7.29	B
7.34	A
7.44	E
7.68	C
7.82	B
7.89	A
8.41	C
8.49	A
8.56	C
8.86	A
9.01	C
9.16	B
9.30	A
9.42	B
9.51	D
9.58	B
9.65	C
9.79	B
9.86	C
9.93	B
10.00	A
10.08	C
10.14	B
10.20	A
10.28	B
10.64	A
10.72	C
10.87	A
10.95	B
11.16	A
11.56	B
12.03	A
12.72	F
12.76	C
12.80	A
12.88	E
13.00	B
13.21	A
13.32	C
13.43	B
13.50	A
13.58	B
13.96	A
14.04	C
14.16	B
14.23	A
14.31	E
14.68	B
14.75	C
15.31	A
15.39	B
15.45	C
15.57	E
15.64	C
15.71	E
15.85	B
15.99	C
16.20	B
16.27	E
16.48	B
16.97	A
19.00	A
